	Ovarian Carcinoma	Peritoneal infections	"Fibrosis, Liver"	Malignant neoplasm of ovary	Glioma	Liver carcinoma	Pancreatic carcinoma	ovarian neoplasm	Psoriasis	Osteosarcoma	Chronic skin ulcer	Idiopathic Pulmonary Fibrosis	Carcinoid Tumor	Arthritis	Disseminated eosinophilic collagen disease	Brain Neoplasms	Hamman-Rich syndrome	Colon Carcinoma	Pulmonary Fibrosis	Hypereosinophilic syndrome	Anaplastic astrocytoma	Carcinoid tumor no ICD-O subtype	Hypertensive disease	Asthma	Malignant neoplasm of pancreas	"Respiratory Distress Syndrome, Adult"	Bronchopulmonary Dysplasia	"Fibromatosis, Aggressive"	Tumor Progression
WLS	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
ERCC1	0	-1	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1
PRSS22	0	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NDC80	0	-1	-1	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
PPP3CA	0	-1	-1	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
IBSP	0	-1	-1	0	0	0	0	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0
IL1R1	0	-1	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1
TGFA	0	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0
PDGFRB	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	-1	0	0	0
PDGFRA	0	-1	0	-1	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	0
S100A4	0	-1	0	-1	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	-1	-1	0
DCN	0	-1	-1	0	0	0	0	0	-1	0	0	0	-1	-1	-1	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	0
PDGFA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	-1	-1	0	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0
TLR2	0	0	0	0	0	0	0	0	0	-1	-1	0	-1	0	-1	0	-1	0	0	-1	-1	-1	0	0	0	-1	0	-1	0
ANGPT1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0
JUN	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1	-1	0	0	0	0	-1	-1	-1	0
IL23A	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0
CP	0	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0
SOD3	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1
CCL7	0	-1	-1	0	0	-1	0	-1	0	-1	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
PRDX1	-1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	0	0	-1	-1	-1
LGMN	0	-1	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
BAIAP2L1	0	-1	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ID3	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
FOXC2	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
ERNBI	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
TGFBR3	0	-1	0	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0
RGS5	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0
TCF3	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
SLC6A2	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	-1
CTSC	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1
MSRI	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	0
EGLNI	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0
PDGFRL	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
EPHB6	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IER5L	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
LBP	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1
CLEC2D	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
